Names,1,2,3,4,5,6,7,8,9,10,11,12,13,14
tahfut,-0.0891691827519091,-0.24888120439852068,-0.24127585138716368,-0.24915818355819175,-0.2864879438644209,-0.2520726569658016,-0.282282129272566,-0.28547068153891175,-0.11537396367527442,4.163336342344337e-15,-0.2343670575654544,-0.24860432764373086,-0.2937925188605415,-0.2720798280819281
mishkat-al-anwar,-0.010510395911477843,0.03933963098084786,0.04317277021261556,0.03657376287683822,0.02644565851493824,0.034961164465551975,0.012413506099226146,0.05610886112947949,0.02211441044168877,4.163336342344337e-15,0.05555706247294179,0.03542270880725451,0.026822557462167496,0.038583658332391746
al-iqtisad fi al-_itiqad ,0.05633109989357293,0.07415329512818153,0.08009804832632,0.09225118913742764,0.08772392629882031,0.1056985526186387,0.1036545576997061,0.06811335846675276,0.06584390076079327,4.163336342344337e-15,0.08915325306572325,0.08336506370515356,0.0978700353893906,0.1016382232680777
Kitab Iljam Al- Awamm an Ilm Al-Kalam,-0.011226726021859812,0.05068356503633287,0.019057259325367504,0.015874087846824758,-0.03275679398622844,0.040701402030867084,0.041252047838722994,-0.056883603721684106,0.000887235514896223,4.163336342344337e-15,0.01173839257126924,0.01319176980347403,0.003026050410910641,0.0365350932375435
Kimiya-yi Saādat,-0.075344979448847,0.06737354521619943,0.05597055846070309,0.024703968085385608,0.13091034308571214,0.039496371117534734,0.08876343147545185,0.11944266694587202,-0.011788112771134451,4.163336342344337e-15,0.06132434176538398,0.011209365563548901,0.12005523319473727,0.10017907459003639
Faysal at-Tafriqa Bayna al-Islam wa al-Zandaqa,0.09332917272857111,0.09048384228017314,0.09487269669367604,0.12562657116894893,0.11508509402544553,0.11515466732151436,0.11592702287214302,0.12023148773713449,-0.0021328062458270125,4.163336342344337e-15,0.07248616992335905,0.11949938720646464,0.11305248838980786,0.11851956593076951
Fada’ih al-Batiniyya ,0.06696159402911589,0.10305185851263754,0.0857190670745096,0.0996450599339902,0.11009122209550654,0.08726131778641277,0.13014925091578267,0.1140885000874281,0.07432986222359061,4.163336342344337e-15,0.08617786472654221,0.09520733150774108,0.11596359648944471,0.10165855420927905
Al-Mankhul min Taliqat al-Usul,0.06090127811178164,0.0814741098221457,0.058735235571193145,0.12066679745572806,0.12974233315000222,0.1008912525387669,0.09838804951805696,0.1184738541204452,0.06292443579464974,4.163336342344337e-15,0.09059231552421171,0.11668995035971436,0.13311710618014938,0.08960317221963632
Al Mustasfa min ilm al-Usul,0.014902607132439905,-0.09266296055796386,-0.03122082190362141,-0.03532955916262048,-0.02229119107894284,-0.04982110931334971,-0.07032551368569817,0.01158407591959243,0.015588642255830953,4.163336342344337e-15,-0.018970329879389958,-0.009429047460790096,-0.04696728766737357,-0.09147457626877253
Ahliyi al-Madnun bihi ala ghayri,0.07647169024899275,0.11316045762672361,0.10294964639583676,0.12019742419559121,0.10586002395231936,0.1153049636279056,0.13171417951435782,0.114506205856034,0.08346906717175195,4.163336342344337e-15,0.11940024315478381,0.10241378797714479,0.10735519845542768,0.12188791148185718
