Names,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
tahfut,0.06718358128980717,-0.25360380812585714,-0.23732398584347858,-0.2799713150761324,-0.01851477935808543,-0.25086646565421067,-0.28663337456139226,-0.10561711934508622,-0.00559163195177681,-0.045358549474045384,-0.2258933195823143,-0.2537551388958408,-0.025189426095868606,-0.12182882154607022,-0.2697991508674674,4.163336342344337e-15,4.163336342344337e-15,-0.1440757412336381,-0.2774765428958652,-0.2844972853707397
mishkat-al-anwar,0.09732654618612147,0.03855770974792494,0.03526591268505652,0.02297610908538683,0.006220285702024542,0.036926036456167266,0.02686168894337093,0.024312238203334502,0.051369595128483436,-0.007148713753038605,0.04837489279687873,0.020203869162192634,0.02379245326024615,0.01832684627331488,0.04327704133338228,4.163336342344337e-15,4.163336342344337e-15,0.01001972614530372,0.05920356250298442,0.029121434677775115
al-iqtisad fi al-_itiqad ,0.08926348675151452,0.08686846309506896,0.08113404846593875,0.0942450846486495,0.04671615287261627,0.08566947052761975,0.07786265535369769,0.0833052136032369,0.07336330119032536,0.0819919372314118,0.08600478259304739,0.11150696315153658,0.07321340563064666,0.07295866564775855,0.08031283034237213,4.163336342344337e-15,4.163336342344337e-15,0.09261955830422719,0.09958218086987564,0.09671205605288102
Kitab Iljam Al- Awamm an Ilm Al-Kalam,-0.04760525232569879,0.025783427318914476,0.011564277541361079,0.045780255100720035,-0.06703143012569679,0.018337888813164338,0.028498276281747892,-0.05429946822849285,-0.03220438424856875,-0.04559113360272371,0.03192108218120304,0.05363702138782034,-0.06805316852182264,-0.03564903609177683,0.04159516783761624,4.163336342344337e-15,4.163336342344337e-15,-0.032029157387407636,0.03693348673302471,0.02771876199735679
Kimiya-yi Saādat,-0.16179499865138458,0.011914062492303368,0.009951782723445046,0.07061819198649949,-0.0881999428120197,0.031970271201135214,0.10995808600209633,-0.1066112214517817,-0.1591370525091632,-0.08856272936628207,-0.01746920036805666,0.04730775264463649,-0.10546991281409535,-0.040105436207655276,0.04848632349103532,4.163336342344337e-15,4.163336342344337e-15,-0.031585397130451054,0.04811594056530699,0.06530700025653863
Faysal at-Tafriqa Bayna al-Islam wa al-Zandaqa,0.021450609488581907,0.13850705393203344,0.11393248818535251,0.11975627129725347,0.07140993014767205,0.09714094700715814,0.12652601505069422,0.07787731107538431,0.044461645701191765,0.07400424497198244,0.09774568532076877,0.11351664609064899,0.06330625338909096,0.09481589412387076,0.09862106248290048,4.163336342344337e-15,4.163336342344337e-15,0.08744953291475804,0.10872587378591814,0.11218593187669335
Fada’ih al-Batiniyya ,0.08054526676831891,0.0976639357960351,0.09626012026054248,0.12109241598559539,0.05878218199880686,0.09454136932400314,0.10117065502678096,0.09504144488216598,0.08285513210479817,0.08345000788711388,0.08649619912167922,0.10750554499187909,0.07518671025404666,0.07959421390863392,0.11725569728153018,4.163336342344337e-15,4.163336342344337e-15,0.0836498499516613,0.11609350282158998,0.10884759030232832
Al-Mankhul min Taliqat al-Usul,0.04492468168517488,0.1387674941029341,0.10891981439686205,0.10351658105829376,0.03872716123288905,0.11850666548283328,0.12682801826779994,0.09300496145672704,0.0788305562641825,0.08354617600808706,0.10081738195886569,0.05967477401072574,0.05129569248761068,0.10040540790045188,0.11773417953896265,4.163336342344337e-15,4.163336342344337e-15,0.10004536596041097,0.06319470639115798,0.09249703330653081
Al Mustasfa min ilm al-Usul,0.07867645694759434,-0.04446278546387383,0.005334091997228174,-0.048825222837461935,0.014442379362705426,-0.01894472319464069,-0.08322671684897487,0.032852113720319376,0.028678766678491785,0.039912521856893646,0.014573470877584815,0.02281841677576224,0.016152358228564923,0.040813553234791466,-0.02551671738739525,4.163336342344337e-15,4.163336342344337e-15,0.03915011614025532,0.020809497979472902,-0.013331387900491265
Ahliyi al-Madnun bihi ala ghayri,-0.0644329718556218,0.13471899331297027,0.11111301018506275,0.11367245073415977,0.07407609137177001,0.12229736304177646,0.1302542659621675,0.09222882597690268,0.06826417396911211,0.04638963083757658,0.09532477280599472,0.10392084323385264,0.07756556570045997,0.06608633398073671,0.10139824937862368,4.163336342344337e-15,4.163336342344337e-15,0.10536454171530718,0.11271282569758723,0.11451838487662774
