Names,1
tahfut,0
mishkat-al-anwar,0
al-iqtisad fi al-_itiqad ,0
Kitab Iljam Al- Awamm an Ilm Al-Kalam,0
Kimiya-yi Saādat,1
Faysal at-Tafriqa Bayna al-Islam wa al-Zandaqa,1
Fada’ih al-Batiniyya ,0
Al-Mankhul min Taliqat al-Usul,1
Al Mustasfa min ilm al-Usul,0
Ahliyi al-Madnun bihi ala ghayri,1
