Names,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
tahfut,0.06718358128980717,-0.25360380812585714,-0.23732398584347858,-0.2799713150761324,-0.01851477935808543,-0.25086646565421067,-0.28663337456139226,-0.10561711934508622,-0.00559163195177681,-0.045358549474045384,-0.2258933195823143,-0.2537551388958408,-0.025189426095868606,-0.12182882154607022,-0.2697991508674674,4.163336342344337e-15,4.163336342344337e-15,-0.1440757412336381,-0.2774765428958652,-0.2844972853707397,-0.014303936261688022,-0.025400755963338906,-0.23453401565753185,-0.11095087646711566,-0.08964945496907861,0.04812652681597179,-0.2732226992927925,-0.2815292964943663,-0.05431455993557588,-0.18458919970014975,-0.2347775123104593,-0.2861971631260348,-0.04121749543115427,-0.12483876511849978,-0.2534067018247612,-0.267951062177306,-0.05042025914041548,-0.14325425422246663,0.04812652681597179,-0.2848899796362244
mishkat-al-anwar,0.09732654618612147,0.03855770974792494,0.03526591268505652,0.02297610908538683,0.006220285702024542,0.036926036456167266,0.02686168894337093,0.024312238203334502,0.051369595128483436,-0.007148713753038605,0.04837489279687873,0.020203869162192634,0.02379245326024615,0.01832684627331488,0.04327704133338228,4.163336342344337e-15,4.163336342344337e-15,0.01001972614530372,0.05920356250298442,0.029121434677775115,0.03562269648960237,0.014048406761086818,0.04382279084710988,-0.004279327758709761,0.006030882225260437,0.04812652681597179,0.0486349742380931,0.0352500688761333,0.009271723859450964,0.02393200361796316,0.04387761140969304,0.04790304805471263,0.017694508199908532,0.012679366828907468,0.04576016854450993,0.0552979474836775,0.016822253516401098,0.009384506303501905,0.04812652681597179,0.04210007897815682
al-iqtisad fi al-_itiqad ,0.08926348675151452,0.08686846309506896,0.08113404846593875,0.0942450846486495,0.04671615287261627,0.08566947052761975,0.07786265535369769,0.0833052136032369,0.07336330119032536,0.0819919372314118,0.08600478259304739,0.11150696315153658,0.07321340563064666,0.07295866564775855,0.08031283034237213,4.163336342344337e-15,4.163336342344337e-15,0.09261955830422719,0.09958218086987564,0.09671205605288102,0.06843353802083302,0.09854932772898634,0.09416331220439939,0.08282983254748494,0.060228085796367514,0.04812652681597179,0.08275012563284079,0.09155315388681423,0.05294544953088948,0.09820963387772519,0.0805746835348955,0.08620808256233675,0.060686185929073044,0.07518755467609872,0.09345645079325243,0.10514403130880179,0.058881386271587344,0.09469326555221452,0.04812652681597179,0.09645966644743847
Kitab Iljam Al- Awamm an Ilm Al-Kalam,-0.04760525232569879,0.025783427318914476,0.011564277541361079,0.045780255100720035,-0.06703143012569679,0.018337888813164338,0.028498276281747892,-0.05429946822849285,-0.03220438424856875,-0.04559113360272371,0.03192108218120304,0.05363702138782034,-0.06805316852182264,-0.03564903609177683,0.04159516783761624,4.163336342344337e-15,4.163336342344337e-15,-0.032029157387407636,0.03693348673302471,0.02771876199735679,-0.0443682268816854,-0.04392009094869409,0.01393941497773804,-0.06238623693040857,-0.010321144022669815,0.04812652681597179,0.033204701908410905,0.03583244622286169,-0.012483457236024842,-0.027715604461514,0.02065964341947002,0.04277641137280652,-0.03701124835086356,-0.01752158416352889,0.03549276584125499,-0.015072479883828316,-0.0041527007127606375,-0.01632454849595022,0.04812652681597179,0.020215026176500617
Kimiya-yi Saādat,-0.16179499865138458,0.011914062492303368,0.009951782723445046,0.07061819198649949,-0.0881999428120197,0.031970271201135214,0.10995808600209633,-0.1066112214517817,-0.1591370525091632,-0.08856272936628207,-0.01746920036805666,0.04730775264463649,-0.10546991281409535,-0.040105436207655276,0.04848632349103532,4.163336342344337e-15,4.163336342344337e-15,-0.031585397130451054,0.04811594056530699,0.06530700025653863,-0.0893867675083081,-0.14046549230248306,-0.00062483231572108,-0.11411780085777268,-0.019976827009342446,-0.19088016547654407,0.058603593640440654,0.04854880327577871,-0.032227770241112785,-0.027824835106418533,-0.000764109758035203,0.0325808782708179,-0.09656431704475699,-0.04935231658892514,0.02421527184982125,0.05531539237593763,-0.057475713272877815,-0.0502637206581954,-0.19088016547654407,0.07353585726955486
Faysal at-Tafriqa Bayna al-Islam wa al-Zandaqa,0.021450609488581907,0.13850705393203344,0.11393248818535251,0.11975627129725347,0.07140993014767205,0.09714094700715814,0.12652601505069422,0.07787731107538431,0.044461645701191765,0.07400424497198244,0.09774568532076877,0.11351664609064899,0.06330625338909096,0.09481589412387076,0.09862106248290048,4.163336342344337e-15,4.163336342344337e-15,0.08744953291475804,0.10872587378591814,0.11218593187669335,0.07917401624643522,0.06640109741188133,0.09537068727700365,0.08681804140116867,0.04403147166321736,0.04812652681597179,0.12074753421539747,0.11258548134440433,0.08642287759035988,0.1045007079662913,0.09206923259487226,0.12183850333731883,0.07344830422090154,0.09302525558639996,0.10825339684824836,0.09830164201256769,0.07865932452366614,0.10334241893796353,0.04812652681597179,0.12549213539690546
Fada’ih al-Batiniyya ,0.08054526676831891,0.0976639357960351,0.09626012026054248,0.12109241598559539,0.05878218199880686,0.09454136932400314,0.10117065502678096,0.09504144488216598,0.08285513210479817,0.08345000788711388,0.08649619912167922,0.10750554499187909,0.07518671025404666,0.07959421390863392,0.11725569728153018,4.163336342344337e-15,4.163336342344337e-15,0.0836498499516613,0.11609350282158998,0.10884759030232832,0.06930585378332743,0.08852829161444209,0.10598891464844418,0.10224177942499718,0.0666611195924614,0.04812652681597179,0.10849109980201188,0.12009275297257421,0.06051873226426896,0.08772183671290129,0.07922250844644069,0.10810976011673001,0.07301868314798393,0.0730016565276082,0.1026903890043056,0.10613948631417142,0.0650776757230001,0.0923935585237915,0.04812652681597179,0.12368549160940678
Al-Mankhul min Taliqat al-Usul,0.04492468168517488,0.1387674941029341,0.10891981439686205,0.10351658105829376,0.03872716123288905,0.11850666548283328,0.12682801826779994,0.09300496145672704,0.0788305562641825,0.08354617600808706,0.10081738195886569,0.05967477401072574,0.05129569248761068,0.10040540790045188,0.11773417953896265,4.163336342344337e-15,4.163336342344337e-15,0.10004536596041097,0.06319470639115798,0.09249703330653081,0.03153189705799103,0.08087308117745573,0.09926991739033186,0.10356821120967402,0.023901097022190065,0.04812652681597179,0.09634062755582545,0.11016208904314467,-0.014705678046935011,0.11671021989250424,0.09564592051072174,0.11834938297398412,0.07001989880854032,0.0954345146256867,0.10912418616970987,0.07243031254080817,-0.004779361917646274,0.10692902493921563,0.04812652681597179,0.11894621165293445
Al Mustasfa min ilm al-Usul,0.07867645694759434,-0.04446278546387383,0.005334091997228174,-0.048825222837461935,0.014442379362705426,-0.01894472319464069,-0.08322671684897487,0.032852113720319376,0.028678766678491785,0.039912521856893646,0.014573470877584815,0.02281841677576224,0.016152358228564923,0.040813553234791466,-0.02551671738739525,4.163336342344337e-15,4.163336342344337e-15,0.03915011614025532,0.020809497979472902,-0.013331387900491265,0.006598865999801584,0.048228437929570434,0.007655523989107849,0.03366523145739608,0.01781218765943432,0.04812652681597179,-0.035806317294781675,-0.03543475416373765,0.011316810463311622,0.026526255492706374,0.020218020065558617,-0.038982724691852044,-0.0023065661043285557,0.02120089108831158,-0.0382877271248917,0.030450163414554754,0.019240900215854728,0.05009914113177644,0.04812652681597179,-0.053889125783093794
Ahliyi al-Madnun bihi ala ghayri,-0.0644329718556218,0.13471899331297027,0.11111301018506275,0.11367245073415977,0.07407609137177001,0.12229736304177646,0.1302542659621675,0.09222882597690268,0.06826417396911211,0.04638963083757658,0.09532477280599472,0.10392084323385264,0.07756556570045997,0.06608633398073671,0.10139824937862368,4.163336342344337e-15,4.163336342344337e-15,0.10536454171530718,0.11271282569758723,0.11451838487662774,0.0804993376350085,0.05115401080710069,0.08334972710528776,0.09528241021841227,0.08233779775787059,-0.19088016547654407,0.1181879746279248,0.11423994325184544,0.08565505346286206,0.10796234619095352,0.10348796900662915,0.11940545641888112,0.0803027196851922,0.06303486833970401,0.10427723769767261,0.11061039145817453,0.07022473250873201,0.05150372473395487,-0.19088016547654407,0.11641300794151577
