Names,1,2
tahfut,0.17257098000875265,0.31001551981930153
mishkat-al-anwar,0.11701785564854719,0.07388304929181604
al-iqtisad fi al-_itiqad ,0.06147682779526493,0.05333320875815248
Kitab Iljam Al- Awamm an Ilm Al-Kalam,0.11767853752577817,0.07004759311955779
Kimiya-yi Saādat,0.15088796000561974,0.0924833582442261
Faysal at-Tafriqa Bayna al-Islam wa al-Zandaqa,0.07360598061666604,0.08863084391231732
Fada’ih al-Batiniyya ,0.057704043464945474,0.04880722972390717
Al-Mankhul min Taliqat al-Usul,0.07824134490426653,0.0862921975467125
Al Mustasfa min ilm al-Usul,0.09590868516209139,0.12311690336972993
Ahliyi al-Madnun bihi ala ghayri,0.07490778486806776,0.05339009621427921
